Year,PFCE_pctGDP,GFCE_pctGDP,GFCF_pctGDP,Net_Exports_pctGDP
2012,56.20721740681138,11.084461585555786,34.3134166469138,-6.543057374385085
2013,56.46095214136072,10.683856231782265,33.43693432560958,-6.724860405913198
2014,57.64576424307681,10.295160141988863,31.29580084779988,-2.9824093456465453
2015,58.12771710128586,10.440856808081367,30.080237058867638,-2.9862597308279653
2016,59.00728107780642,10.428290709183171,28.733144128765332,-2.2965355530383076
2017,59.2952829733065,10.308548377301689,28.188438712065505,-1.7660159439242675
2018,58.725149676238594,10.767198954794209,28.17781361558991,-3.158967275929349
2019,59.28832281239897,10.82321852585985,29.46306815126575,-3.761312134692927
2020,60.91128763805273,11.002675513356117,28.4545443348135,-2.576873736100519
2021,61.098128710306156,11.612452410609837,27.324321373866866,-0.3931514699694841
2022,60.95037963355788,10.476378240073245,29.578034515866186,-2.624772122952292
2023,61.46363434281636,10.255037910788321,31.223094436124516,-3.5721877408546683
2024,60.18808880097664,10.305422243372615,30.426045571427835,-2.0954467210660894
