Year,Per_Capita
2012,71609.25173256402
2013,80518.3247299832
2014,89796.33582445493
2015,98405.36142505566
2016,107341.18377908353
2017,118488.59555869302
2018,130061.2051836448
2019,142424.02746485133
2020,149914.93554507545
2021,146479.61480855703
2022,172421.61826972183
2023,194450.71401873528
2024,215935.16772510222
