Year,Real_Growth_pct,Nominal_Growth_pct,CPI_Combined
2012,,,100.0
2013,5.456387535869811,13.82370596023903,109.89727517678509
2014,6.386108215720943,12.967687129734863,120.26797634562581
2015,7.4102270125092184,10.988875292999921,127.39615854436389
2016,7.996253785665286,10.45812354456852,133.64894958946334
2017,8.25630550178209,11.761614276069077,139.69629248880287
2018,6.79538341898569,11.034370907201275,144.70745816987062
2019,6.453851344976491,10.58877470994808,149.64716302046568
2020,3.8714369407095495,6.370082181805348,156.78427813565241
2021,-5.777724706874087,-1.2410560235544321,166.44930713193637
2022,9.68959249191197,18.85405671740703,175.61411281602818
2023,7.609364977703703,13.955241883905622,187.29790017937327
2024,9.19075493028454,12.020924206027516,197.33809665980132
